Time,Mag,Speed
0,3.92216,19.399617389
0.02,3.86744,19.399591736
0.04,4,19.3995643631
0.06,3.93224,19.3995351548
0.08,3.95016,19.3995039883
0.1,3.80678,19.3994707321
0.12,3.84004,19.3994352461
0.14,3.98398,19.399397381
0.16,3.86896,19.3993569771
0.18,3.80744,19.3993138642
0.2,3.84958,19.3992678607
0.22,3.87574,19.3992187728
0.24,3.89854,19.3991663937
0.26,3.86286,19.3991105028
0.28,3.92236,19.3990508645
0.3,3.81608,19.3989872276
0.32,3.85014,19.398919324
0.34,3.78584,19.3988468678
0.36,3.82338,19.3987695535
0.38,3.72284,19.3986870555
0.4,3.86508,19.3985990263
0.42,3.7616,19.3985050949
0.44,3.79004,19.3984048657
0.46,3.7912,19.3982979164
0.48,3.71272,19.3981837965
0.5,3.56064,19.3980620252
0.52,3.35694,19.3979320894
0.54,3.32816,19.3977934418
0.56,3.1316,19.3976454983
0.58,2.95042,19.3974876355
0.6,3.13986,19.3973191886
0.62,3.13894,19.3971394477
0.64,2.95508,19.3969476557
0.66,2.688,19.3967430046
0.68,2.65148,19.3965246322
0.7,2.42104,19.3962916185
0.72,2.30704,19.3960429819
0.74,2.06334,19.395777675
0.76,1.86602,19.3954945799
0.78,1.69274,19.3951925042
0.8,1.01024,19.3948701751
0.82,0.73856,19.3945262347
0.84,0.73988,19.3941592341
0.86,0.7144,19.3937676272
0.88,0.7851,19.3933497641
0.9,0.86114,19.3929038845
0.92,0.84742,19.3924281098
0.94,0.23138,19.3919204359
0.96,-0.35596,19.3913787238
0.98,-0.77138,19.3908006914
1,-0.87356,19.3901839036
1.02,-1.03322,19.3895257619
1.04,-0.61886,19.3888234936
1.06,-0.722,19.3880741403
1.08,-1.15952,19.3872745449
1.1,-1.77334,19.3864213388
1.12,-2.58382,19.3855109277
1.14,-2.25476,19.3845394761
1.16,-1.95862,19.3835028914
1.18,-2.03084,19.3823968066
1.2,-3.26184,19.3812165619
1.22,-4.45522,19.3799571851
1.24,-4.80524,19.3786133707
1.26,-3.47318,19.3771794572
1.28,-3.36568,19.3756494039
1.3,-5.96194,19.3740167648
1.32,-7.0498,19.3722746619
1.34,-6.18198,19.3704157558
1.36,-5.7049,19.3684322153
1.38,-6.29572,19.366315684
1.4,-5.9508,19.3640572452
1.42,-7.45672,19.3616473844
1.44,-6.91346,19.3590759492
1.46,-7.80784,19.3563321066
1.48,-8.56044,19.3534042969
1.5,-8.78556,19.3502801859
1.52,-9.074059,19.3469466119
1.54,-10.68802,19.3433895313
1.56,-10.94616,19.3395939583
1.58,-8.99198,19.3355439028
1.6,-8.55156,19.3312223025
1.62,-10.11584,19.326610951
1.64,-11.56736,19.3216904213
1.66,-11.25174,19.316439984
1.68,-8.83758,19.3108375196
1.7,-6.889339,19.3048594256
1.72,-5.06236,19.2984805173
1.74,-5.56374,19.291673921
1.76,-8.37532,19.2844109616
1.78,-10.725879,19.2766610411
1.8,-9.13014,19.2683915103
1.82,-8.72276,19.2595675306
1.84,-10.0128,19.2501519279
1.86,-9.91088,19.2401050354
1.88,-9.23594,19.229384527
1.9,-9.62704,19.2179452387
1.92,-9.973041,19.2057389781
1.94,-10.6731,19.1927143221
1.96,-11.03074,19.1788163995
1.98,-12.04092,19.1639866601
2,-11.26826,19.1481626284
2.02,-11.29386,19.1312776398
2.04,-11.409859,19.1132605602
2.06,-10.9272,19.0940354859
2.08,-10.72418,19.0735214244
2.1,-9.94708,19.0516319526
2.12,-10.37374,19.0282748533
2.14,-10.8057,19.003351726
2.16,-12.83406,18.976757573
2.18,-13.61392,18.9483803568
2.2,-12.17334,18.9181005279
2.22,-13.04868,18.8857905214
2.24,-12.30434,18.8513142198
2.26,-14.21022,18.814526379
2.28,-15.8127,18.7752720167
2.3,-14.59454,18.7333857597
2.32,-16,18.6886911467
2.34,-15.5428,18.6409998855
2.36,-14.1745,18.5901110591
2.38,-12.36628,18.5358102798
2.4,-10.60564,18.4778687857
2.42,-7.390181,18.4160424772
2.44,-8.75844,18.3500708882
2.46,-7.35128,18.2796760895
2.48,-6.87278,18.2045615172
2.5,-4.02714,18.1244107238
2.52,-3.0255,18.0388860447
2.54,-1.81032,17.947627176
2.56,-1.51338,17.8502496564
2.58,-0.89598,17.7463432476
2.6,-0.65532,17.6354702059
2.62,-0.06626,17.517163438
2.64,0.04282,17.3909245336
2.66,0.21902,17.2562216651
2.68,0.67638,17.1124873475
2.7,0.5018,16.9591160476
2.72,0.34434,16.7954616326
2.74,0.92182,16.6208346487
2.76,1.95778,16.4344994158
2.78,2.51642,16.2356709289
2.8,2.91942,16.0235115501
2.82,3.06608,15.7971274808
2.84,3.5156,15.5555649954
2.86,3.4168,15.2978064236
2.88,3.63444,15.0227658633
2.9,3.5831,14.7292846058
2.92,3.73666,14.4161262541
2.94,3.8155,14.0819715143
2.96,3.8115,13.7254126374
2.98,3.76348,13.3449474891
3,3.8206,12.938973221
3.02,3.85324,12.5057795182
3.04,3.84756,12.043541394
3.06,3.76984,11.5503115015
3.08,3.85494,11.0240119298
3.1,3.80792,10.4624254497
3.12,3.8748,9.863186173
3.14,3.81172,9.2237695854
3.16,3.98528,8.5414819112
3.18,3.87556,7.8134487643
